Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
0,500,[  7.626     673.3571516],[ 0.50805905 44.244941  ],[  7.        553.2835535],[  9.         789.52568887],"[12, 15, 25, 24, 21, 22, 11, 5, 6, 20, 16, 3, 10, 1, 19, 13, 18, 17, 9, 8, 7, 14, 4, 2, 23]","(7.0, 563.3745404248668)"
1,426,[  7.424      629.02892495],[ 0.49419025 24.41093061],[  7.        553.2835535],[  8.         664.16789701],"[12, 15, 25, 24, 21, 22, 11, 5, 6, 20, 16, 3, 10, 1, 19, 13, 18, 17, 9, 8, 7, 14, 4, 2, 23]","(7.0, 563.3745404248668)"
2,414,[  7.386      604.19666439],[ 0.48683057 18.52138435],[  7.         533.82738366],[  8.         628.58161483],"[19, 11, 18, 2, 20, 23, 10, 15, 5, 1, 4, 3, 9, 17, 7, 8, 13, 16, 12, 14, 22, 6, 25, 24, 21]","(7.0, 542.1906869892807)"
3,416,[  7.372      586.11254612],[ 0.48333839 16.71079788],[  7.         505.36291534],[  8.         606.79262318],"[2, 4, 1, 6, 10, 16, 19, 22, 24, 11, 5, 8, 21, 13, 20, 15, 18, 23, 3, 12, 14, 17, 9, 25, 7]","(7.0, 505.3629153371163)"
4,414,[  7.374      570.00455552],[ 0.48386362 12.37209872],[  7.         505.36291534],[  8.         586.86890226],"[2, 4, 1, 6, 10, 16, 19, 22, 24, 11, 5, 8, 21, 13, 20, 15, 18, 23, 3, 12, 14, 17, 9, 25, 7]","(7.0, 505.3629153371163)"
5,406,[  7.284      558.44872919],[ 0.4509368  11.31256642],[  7.         495.85582355],[  8.         571.35481324],"[9, 11, 18, 2, 20, 23, 10, 8, 5, 1, 4, 3, 19, 17, 7, 15, 13, 16, 12, 14, 22, 6, 25, 24, 21]","(7.0, 495.85582354792143)"
6,408,[  7.264      549.17707144],[ 0.44079927 11.75452715],[  7.         495.85582355],[  8.         562.47179648],"[9, 11, 18, 2, 20, 23, 10, 8, 5, 1, 4, 3, 19, 17, 7, 15, 13, 16, 12, 14, 22, 6, 25, 24, 21]","(7.0, 495.85582354792143)"
7,386,[  7.21       538.99926955],[ 0.40730824 12.07496456],[  7.         494.93430292],[  8.         551.76437043],"[7, 2, 21, 20, 19, 14, 12, 11, 13, 16, 6, 4, 9, 1, 3, 5, 10, 17, 15, 18, 25, 23, 8, 24, 22]","(7.0, 494.9343029238333)"
8,418,[  7.254      529.40647437],[ 0.4352976  13.34990649],[  7.         494.02814881],[  8.         542.24851186],"[7, 2, 11, 13, 19, 14, 12, 21, 20, 16, 6, 4, 9, 1, 3, 5, 10, 17, 15, 18, 25, 23, 8, 24, 22]","(7.0, 494.0281488062034)"
9,394,[  7.086    517.993699],[ 0.28036405 12.68031236],[  7.         494.02814881],[  8.         532.90928956],"[7, 2, 11, 13, 19, 14, 12, 21, 20, 16, 6, 4, 9, 1, 3, 5, 10, 17, 15, 18, 25, 23, 8, 24, 22]","(7.0, 494.0281488062034)"
10,382,[  7.058      505.78698054],[0.23374345 7.45393952],[  7.         485.61765128],[  8.         522.93997855],"[2, 4, 1, 6, 10, 16, 19, 22, 24, 11, 5, 8, 7, 13, 20, 15, 18, 23, 3, 12, 14, 17, 9, 25, 21]","(7.0, 485.61765128215933)"
