Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
0,500,[  7.626      671.05831836],[ 0.49610886 45.3392276 ],[  7.         545.24588056],[  9.        800.6154878],"[1, 2, 3, 16, 7, 6, 13, 11, 4, 5, 23, 21, 20, 17, 15, 19, 14, 10, 22, 24, 25, 18, 8, 12, 9]","(7.0, 545.245880560513)"
1,396,[  7.322      625.25374249],[ 0.46724298 27.19224223],[  7.         525.76643943],[  8.         665.09340673],"[6, 7, 5, 21, 11, 1, 9, 12, 18, 25, 2, 4, 16, 14, 13, 17, 10, 22, 24, 23, 3, 8, 20, 19, 15]","(7.0, 525.7664394344156)"
2,394,[  7.21       596.83597192],[ 0.40730824 21.36116073],[  7.        525.7590597],[  8.         624.94780203],"[6, 7, 23, 21, 11, 1, 9, 12, 18, 25, 2, 4, 16, 14, 13, 17, 10, 22, 24, 5, 3, 8, 20, 19, 15]","(7.0, 525.7590597034244)"
3,408,[  7.144      574.69994981],[ 0.35108973 15.91916973],[  7.         509.46011493],[  8.         593.68264939],"[12, 16, 4, 24, 23, 3, 1, 5, 7, 10, 13, 9, 22, 8, 11, 6, 21, 17, 14, 19, 2, 20, 18, 15, 25]","(7.0, 509.460114926393)"
4,402,[  7.042      559.79889224],[ 0.20058913 13.6908649 ],[  7.         509.46011493],[  8.         578.93613912],"[12, 16, 4, 24, 23, 3, 1, 5, 7, 10, 13, 9, 22, 8, 11, 6, 21, 17, 14, 19, 2, 20, 18, 15, 25]","(7.0, 509.460114926393)"
5,406,[  7.038      546.99516574],[ 0.19119623 10.42956169],[  7.         509.46011493],[  8.         558.91842597],"[12, 16, 4, 24, 23, 3, 1, 5, 7, 10, 13, 9, 22, 8, 11, 6, 21, 17, 14, 19, 2, 20, 18, 15, 25]","(7.0, 509.460114926393)"
6,416,[  7.022      538.05405948],[0.14668333 9.29922777],[  7.         509.46011493],[  8.         549.52821504],"[12, 16, 4, 24, 23, 3, 1, 5, 7, 10, 13, 9, 22, 8, 11, 6, 21, 17, 14, 19, 2, 20, 18, 15, 25]","(7.0, 509.460114926393)"
7,406,[  7.004      529.48296914],[0.06311894 7.45425069],[  7.         509.46011493],[  8.         541.65123076],"[12, 16, 4, 24, 23, 3, 1, 5, 7, 10, 13, 9, 22, 8, 11, 6, 21, 17, 14, 19, 2, 20, 18, 15, 25]","(7.0, 509.460114926393)"
8,402,[  7.         522.61161563],[0.        5.0223423],[  7.         496.82169532],[  7.         527.65650718],"[1, 2, 3, 16, 17, 11, 13, 6, 4, 5, 23, 20, 21, 7, 15, 19, 14, 10, 22, 24, 25, 18, 8, 12, 9]","(7.0, 496.8216953219744)"
9,418,[  7.         518.88970347],[0.         5.64190137],[  7.         496.82169532],[  7.        525.7590597],"[1, 2, 3, 16, 17, 11, 13, 6, 4, 5, 23, 20, 21, 7, 15, 19, 14, 10, 22, 24, 25, 18, 8, 12, 9]","(7.0, 496.8216953219744)"
10,406,[  7.         514.01811865],[0.         5.67214092],[  7.         476.34537547],[  7.         519.60139187],"[17, 15, 23, 13, 14, 19, 18, 1, 9, 6, 3, 16, 2, 5, 8, 12, 11, 21, 20, 4, 7, 10, 24, 25, 22]","(7.0, 476.3453754749367)"
11,372,[  7.         508.51333009],[0.         5.08129452],[  7.         476.34537547],[  7.         516.56802832],"[17, 15, 23, 13, 14, 19, 18, 1, 9, 6, 3, 16, 2, 5, 8, 12, 11, 21, 20, 4, 7, 10, 24, 25, 22]","(7.0, 476.3453754749367)"
12,408,[  7.         505.47118476],[0.         6.66193406],[  7.         476.16506992],[  7.         509.46011493],"[17, 15, 23, 13, 14, 19, 18, 1, 9, 6, 3, 16, 2, 5, 7, 12, 11, 21, 20, 4, 8, 10, 24, 25, 22]","(7.0, 476.16506991794193)"
13,394,[  7.         500.19170031],[0.        7.7233632],[  7.         474.50041218],[  7.         509.46011493],"[17, 15, 23, 13, 14, 19, 18, 1, 9, 6, 4, 16, 2, 5, 8, 12, 11, 21, 20, 3, 7, 10, 24, 25, 22]","(7.0, 474.5004121791202)"
14,404,[  7.         493.99840461],[0.         7.62045948],[  7.         474.50041218],[  7.         500.35702104],"[17, 15, 23, 13, 14, 19, 18, 1, 9, 6, 4, 16, 2, 5, 8, 12, 11, 21, 20, 3, 7, 10, 24, 25, 22]","(7.0, 474.5004121791202)"
15,392,[  7.         488.39086087],[0.         8.52538218],[  7.         468.33446992],[  7.         496.82169532],"[1, 2, 3, 16, 17, 11, 13, 6, 4, 5, 23, 20, 21, 7, 15, 19, 14, 10, 22, 25, 24, 18, 12, 8, 9]","(7.0, 468.33446991819807)"
16,400,[  7.         480.54953452],[0.         4.92370442],[  7.         468.33446992],[  7.         492.02453518],"[1, 2, 3, 16, 17, 11, 13, 6, 4, 5, 23, 20, 21, 7, 15, 19, 14, 10, 22, 25, 24, 18, 12, 8, 9]","(7.0, 468.33446991819807)"
17,406,[  7.         476.71958214],[0.         2.80461762],[  7.         447.99575633],[  7.         481.82586576],"[17, 15, 23, 13, 14, 19, 18, 1, 9, 6, 3, 16, 12, 5, 8, 2, 11, 21, 20, 4, 7, 10, 24, 25, 22]","(7.0, 447.99575633296564)"
18,390,[  7.         475.14397493],[0.         3.48351802],[  7.         429.27088947],[  7.         476.34537547],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 5, 16, 12, 11, 21, 20, 4, 7, 10, 24, 25, 22]","(7.0, 429.27088947410937)"
19,408,[  7.         473.58337343],[0.         5.09313124],[  7.         429.27088947],[  7.         476.34537547],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 5, 16, 12, 11, 21, 20, 4, 7, 10, 24, 25, 22]","(7.0, 429.27088947410937)"
20,392,[  7.         470.44214069],[0.         6.70083012],[  7.         429.27088947],[  7.         476.16506992],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 5, 16, 12, 11, 21, 20, 4, 7, 10, 24, 25, 22]","(7.0, 429.27088947410937)"
21,384,[  7.        465.9239707],[0.         8.24970585],[  7.         429.27088947],[  7.         471.04254056],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 5, 16, 12, 11, 21, 20, 4, 7, 10, 24, 25, 22]","(7.0, 429.27088947410937)"
22,394,[  7.         461.95214554],[ 0.         11.43166995],[  7.         427.42592618],[  7.         468.74143008],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 5, 16, 12, 11, 21, 20, 3, 7, 10, 24, 25, 22]","(7.0, 427.4259261782928)"
23,378,[  7.         454.36583309],[ 0.         13.55721721],[  7.         427.42592618],[  7.         468.33446992],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 5, 16, 12, 11, 21, 20, 3, 7, 10, 24, 25, 22]","(7.0, 427.4259261782928)"
24,388,[  7.         442.08210435],[0.         8.78192448],[  7.         427.42592618],[  7.         453.36148392],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 4, 8, 9, 5, 16, 12, 11, 21, 20, 3, 7, 10, 24, 25, 22]","(7.0, 427.4259261782928)"
25,410,[  7.         435.11200218],[0.         7.76370316],[  7.         425.10383321],[  7.         447.99575633],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 425.1038332141763)"
26,400,[  7.         429.08817074],[0.         0.59092695],[  7.         425.10383321],[  7.         429.27088947],"[17, 15, 23, 13, 14, 19, 18, 1, 2, 6, 3, 8, 9, 10, 16, 12, 11, 21, 20, 4, 7, 5, 24, 25, 22]","(7.0, 425.1038332141763)"
